filepath,start,stop,text
Pm01-10.mp3,244.06,253.52,गन्तव्या ते वसतिरलका नाम यक्षेश्वराणां
Pm01-10.mp3,253.54,262.34,बाह्योद्यानस्थितहरशिरश्चन्द्रिकाधौतहर्म्या
Pm01-10.mp3,262.36,272.7,त्वामारूढं पवनपदवीम् उद्गृहीतालकान्ताः
Pm01-10.mp3,272.72,282.62,प्रेक्षिष्यन्ते पथिकवनिताः प्रत्ययाद् आश्वसत्यः
Pm01-10.mp3,282.64,291.88,कः सन्नद्धे विरहविधुरां त्वय्युपेक्षेत जायां
Pm01-10.mp3,291.9,301.94,न स्यादन्योप्यहमिव जनो यः पराधीनवृत्तिः
Pm01-10.mp3,301.96,309.86,मन्दं मन्दं नुदति पवनश्चानुकूलो यथा त्वां
Pm01-10.mp3,309.88,317.38,वामश्चायं नदति मधुरं चातकस्ते सगन्धः
Pm01-10.mp3,317.4,325.14,गर्भाधानक्षणपरिचयान्नूनमाबद्धमालाः
Pm01-10.mp3,325.16,334.74,सेविष्यन्ते नयनसुभगं खे भवन्तं बलाकाः
Pm01-10.mp3,334.76,342.44,तां चावश्यं दिवसगणनातत्परामेकपत्नीम्
Pm01-10.mp3,342.46,350.24,अव्यापन्नामवितथगतिः द्रक्ष्यसि भ्रातृजायाम्
Pm01-10.mp3,350.26,358.54,आशाबन्धः कुसुमसदृशं प्रायशो ह्यङ्गनानां
Pm01-10.mp3,358.56,368.16,सद्यःपाति प्रणयि हृदयं विप्रयोगे रुणद्धि
Pm11-20.mp3,0,9.68,कर्तुं यच्च प्रभवति महीम् उच्छिलीन्ध्रामवन्ध्यां
Pm11-20.mp3,9.7,17.82,तच्छ्रुत्वा ते श्रवणसुभगं गर्जितं मानसोत्काः
Pm11-20.mp3,17.84,25.72,आ कैलासाद् बिसकिसलयच्छेदपाथेयवन्तः
Pm11-20.mp3,25.74,35.32,संपत्स्यन्ते नभसि भवतो राजहंसाः सहायाः
Pm11-20.mp3,35.34,43.58,आपृच्छस्व प्रियसखममुं तुङ्गमालिङ्ग्य शैलं
Pm11-20.mp3,43.6,52.1,वन्द्यैः पुंसां रघुपतिपदैः अङ्कितं मेखलासु
Pm11-20.mp3,52.12,60.04,काले काले भवति भवतो यस्य संयोगमेत्य
Pm11-20.mp3,60.06,68.94,स्नेहव्यक्तिश्चिरविरहजं मुञ्चतो बाष्पमुष्णम्
Pm11-20.mp3,68.96,77.5,मर्गं तावच्छृणु कथयतः त्वत्प्रयाणानुरूपं
Pm11-20.mp3,77.52,84.52,संदेशं मे तदनु जलद श्रोष्यसि श्रोत्रपेयम्
Pm11-20.mp3,84.54,91.76,खिन्नः खिन्नः शिखरिषु पदं न्यस्य गन्तासि यत्र
Pm11-20.mp3,91.78,100.64,क्षीणः क्षीणः परिलघु पयः स्रोतसां चोपभुज्य
Pm11-20.mp3,100.66,108.88,अद्रेः शृङ्गं हरति पवनः किंस्विदित्युन्मुखीभिः
Pm11-20.mp3,108.9,116.92,दृष्टोत्साहश्चकितचकितं मुग्धसिद्धाङ्गनाभिः
Pm11-20.mp3,116.94,125.64,स्थानादस्मात् सरसनिचुलादुत्पतोदङ्मुखः खं
Pm11-20.mp3,125.66,135.1,दिङ्नागानां पथि परिहरन् स्थूलहस्तावलेपान्
Pm11-20.mp3,135.12,143.88,रत्नच्छायाव्यतिकर इव प्रेक्ष्यमेतत्पुरस्ताद्
Pm11-20.mp3,143.9,152.66,वल्मीकाग्रात् प्रभवति धनुःखण्डमाखण्डलस्य
Pm11-20.mp3,152.68,161.38,येन श्यामं वपुरतितरां कान्तिमापत्स्यते ते
Pm11-20.mp3,161.4,170.46,बर्हेणेव स्फुरितरुचिना गोपवेषस्य विष्णोः
Pm11-20.mp3,170.48,178.96,त्वय्यायन्तं कृषिफलमिति भ्रूविकारानभिज्ञैः
Pm11-20.mp3,178.98,187.72,प्रीतिस्निग्धैर्जनपदवधूलोचनैः पीयमानः
Pm11-20.mp3,187.74,195.98,सद्यःसीरोत्कषणसुरभि क्षेत्रमारुह्य मालं
Pm11-20.mp3,196,205.98,किंचित् पश्चाद् व्रज लघुगतिर्भूय एवोत्तरेण
Pm11-20.mp3,206,214.94,त्वामासारप्रशमितवनोपप्लवं साधु मूर्ध्ना
Pm11-20.mp3,214.96,223.12,वक्ष्यत्यध्वश्रमपरिगतं सानुमानाम्रकूटः
Pm11-20.mp3,223.14,231.46,न क्षुद्रोऽपि प्रथमसुकृतापेक्षया संश्रयाय
Pm11-20.mp3,231.48,241.46,प्राप्ते मित्रे भवति विमुखः किं पुनर्यस्तत्थोच्चैः
Pm11-20.mp3,241.48,250.58,छन्नोपान्तः परिणतफलद्योतिभिः काननाम्रैः
Pm11-20.mp3,250.6,259.04,त्वय्यारूढे शिखरमचलः स्निग्धवेणीसवर्णे
Pm11-20.mp3,259.06,267.78,नूनं यास्यत्यमरमिथुनप्रेक्षणीयामवस्थां
Pm11-20.mp3,267.8,277.74,मध्ये श्यामः स्तन इव भुवः शेषविस्तारपाण्डुः
Pm11-20.mp3,277.76,287.18,स्थित्वा तस्मिन् वनचरवधूभुक्तकुञ्जे मुहूर्तं
Pm11-20.mp3,287.2,296.4,तोयोत्सर्गद्रुततरगतिस्तत्परं वर्त्मतीर्णः
Pm11-20.mp3,296.42,305.48,रेवां द्रक्ष्यस्युपलविषमे विन्ध्यपादे विशीर्णां
Pm11-20.mp3,305.5,315.08,भक्तिच्छेदैरिव विरचितां भूतिमङ्गे गजस्य
Pm11-20.mp3,315.1,324.3,तस्यास्तिक्तैः वनगजमदैरः वासितं वान्तवृष्टिः
Pm11-20.mp3,324.32,333.36,जम्बूकुञ्जप्रतिहतरयं तोयमादाय गच्छेः
Pm11-20.mp3,333.38,342.18,अन्तःसारं घन तुलयितुं नानिलः शक्ष्यति त्वां
Pm11-20.mp3,342.2,350.98,रिक्तः सर्वो भवति हि लघुः पूर्णता गौरवाय
Pm21-30.mp3,0.8,10.62,नीपं दृष्ट्वा हरितकपिशं केसरैरर्धरूढैः
Pm21-30.mp3,10.64,18.76,आविर्भूतप्रथममुकुलाः कन्दलीश्चानुकच्छम्
Pm21-30.mp3,18.78,28.54,जग्ध्वारण्येष्वधिकसुरभिं गन्धमाघ्राय चोर्व्याः
Pm21-30.mp3,28.56,38.38,सारङ्गास्ते जललवमुचः सूचयिष्यन्ति मार्गम्
Pm21-30.mp3,38.4,48.04,अम्भोबिन्दुग्रहणचतुरांश्चातकान् वीक्षमाणाः
Pm21-30.mp3,48.06,57.4,श्रेणीभूताः परिगणनया निर्दिशन्तो बलाकाः
Pm21-30.mp3,57.42,67.22,त्वामासाद्य स्तनितसमये मानयिष्यन्ति सिद्धाः
Pm21-30.mp3,67.24,76.6,सोत्कण्ठानि प्रियसहचरीसंभ्रमालिङ्गितानि
Pm21-30.mp3,76.62,85.52,उत्पश्यामि द्रुतमपि सखे मत्प्रियार्थं यियासोः
Pm21-30.mp3,85.54,94.42,कालक्षेपं ककुभसुरभौ पर्वते पर्वेते ते
Pm21-30.mp3,94.44,104.42,शुक्लापाङ्गैः सजलनयनैः स्वागतीकृत्य केकाः
Pm21-30.mp3,104.44,114.42,प्रत्युद्यातः कथमपि भवान् गन्तुमाशु व्यवस्येत्
Pm21-30.mp3,114.44,123.32,पाण्डुच्छायोपवनवृतयः केतकैः सूचिभिन्नैः
Pm21-30.mp3,123.34,133.06,नीडारम्भैः गृहबलिभुजामाकुलग्रामचैत्याः
Pm21-30.mp3,133.08,142.06,त्वय्यासन्ने परिणतफलश्यामजम्बूवनान्ताः
Pm21-30.mp3,142.08,151.8,संपत्स्यन्ते कतिपयदिनस्थायिहंसा दशार्णाः
Pm21-30.mp3,151.82,160.4,तेषां दिक्षु प्रथितविदिशालक्षणां राजधानीं
Pm21-30.mp3,160.42,169.14,गत्वा सद्यः फलमविकलं कामुकत्वस्य लब्धा
Pm21-30.mp3,169.16,177.86,तीरोपान्तस्तनितसुभगं पास्यसि स्वादु यस्मात्
Pm21-30.mp3,177.88,187,सभ्रूभङ्गं मुखमिव पयो वेत्रवत्याश्चलोर्मि
Pm21-30.mp3,187.02,196.1,नीचैराख्यं गिरिमधिवसेः तत्र विश्रामहेतोः
Pm21-30.mp3,196.12,204.16,त्वत्सम्पर्कात् पुलकितमिव प्रौढपुष्पैः कदम्बैः
Pm21-30.mp3,204.18,212.04,यः पण्यस्त्रीरतिपरिमलोद्गारिभिः नागराणाम्
Pm21-30.mp3,212.06,220.26,उद्दामानि प्रथयति शिलावेश्मभिर् यौवनानि
Pm21-30.mp3,220.28,230.26,विश्रान्तः सन् व्रज वननदीतीरजातानि सिञ्चन्
Pm21-30.mp3,230.28,239.06,उद्यानानां नवजलकणैः यूथिकाजालकानि
Pm21-30.mp3,239.08,247.34,गण्डस्वेदापनयनरुजाक्लान्तकर्णोत्पलानां
Pm21-30.mp3,247.36,257.3,छायादानात् क्षणपरिचितः पुष्पलावीमुखानाम्
Pm21-30.mp3,257.32,266.34,वक्रः पन्था यदपि भवतः प्रस्थितस्योत्तराशां
Pm21-30.mp3,266.36,275.58,सौधोत्सङ्गप्रणयविमुखः मा स्म भूरुज्जयिन्याः
Pm21-30.mp3,275.6,283.2,विद्युद्दामस्फुरितचकितैः यत्र पौराङ्गनानां
Pm21-30.mp3,283.22,292.06,लोलापाङ्गैर्यदि न रमसे लोचनैर्वञ्चितः स्याः
Pm21-30.mp3,292.08,300.46,वीचिक्षोभस्तनितविहगश्रेणिकाञ्चीगुणायाः
Pm21-30.mp3,300.48,309.26,संसर्पन्त्याः स्खलितसुभगं दर्शितावर्तनाभेः
Pm21-30.mp3,309.28,317.36,निर्विन्ध्यायाः पथि भव रसाभ्यन्तरः सन्निपत्य
Pm21-30.mp3,317.38,327.1,स्त्रीणामाद्यं प्रणयवचनं विभ्रमो हि प्रियेषु
Pm21-30.mp3,327.12,335.44,वेणीभूतप्रतनुसलिला तामतीतस्य सिन्धुः
Pm21-30.mp3,335.46,343.48,पाण्डुच्छाया तटरुहतरुभ्रंशिभिर्जीर्णपर्णैः
Pm21-30.mp3,343.5,351.9,सौभाग्यं ते सुभग विरहावस्थया व्यञ्जयन्ती
Pm21-30.mp3,351.92,361.28,कार्श्यं येन त्यजति विधिना स त्वयैवोपपाद्यः
Pm21-30.mp3,361.3,370,प्राप्यावन्तीन् उदयनकथाकोविदग्रामवृद्धान्
Pm21-30.mp3,370.02,378.72,पूर्वोद्दिष्टामनुसर पुरीं श्रीविशालां विशालाम्
Pm21-30.mp3,378.74,387.08,स्वल्पीभूते सुचरितफले स्वर्गिणां गां गतानां
Pm21-30.mp3,387.1,395.98,शेषैः पुण्यैर्हृतम् इव दिवः कान्तिमत्खण्डमेकम्
Pm31-40.mp3,0,8.4,दीर्घीकुर्वन् पटु मदकलं कूजितं सारसानां
Pm31-40.mp3,8.42,16.98,प्रत्यूषेषु स्फुटितकमलामोदमैत्रीकषायः
Pm31-40.mp3,17,25.3,यत्र स्त्रीणां हरति सुरतग्लानिमङ्गानुकूलः
Pm31-40.mp3,25.32,34.56,शिप्रावातः प्रियतम इव प्रार्थनाचाटुकारः
Pm31-40.mp3,34.58,43.2,हारांस्तारान् तरलगुटिकान् कोटिशः शङ्कशुक्तीः
Pm31-40.mp3,43.22,51.96,शष्पश्यामान् मरकतमणीन् उन्मयूखप्ररोहान्
Pm31-40.mp3,51.98,60.32,दृष्ट्वा यस्यां विपणिरचितान् विद्रुमाणां च भङ्गान्
Pm31-40.mp3,60.34,68.86,संलक्ष्यन्ते सलिलनिधयः तोयमात्रावशेषाः
Pm31-40.mp3,68.88,76.56,प्रद्योतस्य प्रियदुहितरं वत्सराजोऽत्र जह्रे
Pm31-40.mp3,76.58,84.44,हैमं तालद्रुमवनमभूद् अत्र तस्यैव राज्ञः
Pm31-40.mp3,84.46,92.22,अत्रोद्भ्रान्तः किल नलगिरिः स्तम्भमुत्पाट्य दर्पाद्
Pm31-40.mp3,92.24,99.68,इत्यागन्तून् रमयति जनो यत्र बन्धूनभिज्ञः
Pm31-40.mp3,99.7,107.54,पत्रश्यामाः दिनकरहयस्पर्धिनो यत्र वाहाः
Pm31-40.mp3,107.56,115.76,शैलोदग्राः त्वमिव करिणः वृष्टिमन्तः प्रभेदात्
Pm31-40.mp3,115.78,123.54,योधाग्रण्यः प्रतिदशमुखं संयुगे तस्थिवांसः
Pm31-40.mp3,123.56,131.84,प्रत्यादिष्टाभरणरुचयः चन्द्रहासव्रणाङ्कैः
Pm31-40.mp3,131.86,141.28,जालोद्गीर्णैः उपचितवपुः केशसंस्कारधूपैः
Pm31-40.mp3,141.3,150.3,बन्धुप्रीत्या भवनशिखिभिः दत्तनृत्योपहारः
Pm31-40.mp3,150.32,159.6,हर्म्येष्वस्याः कुसुमसुरभिषु अध्वखेदं नयेथाः
Pm31-40.mp3,159.62,168.32,लक्ष्मीं पश्यन् ललितवनितापादरागाङ्कितेषु
Pm31-40.mp3,168.34,176.4,भर्तुः कण्ठच्छविरिति गणैः सादरं वीक्ष्यमाणः
Pm31-40.mp3,176.42,185,पुण्यं यायाः त्रिभुवनगुरोर्धाम चण्डीश्वरस्य
Pm31-40.mp3,185.02,192.94,धूतोद्यानं कुवलयरजोगन्धिभिः गन्धवत्याः
Pm31-40.mp3,192.96,201.48,तोयक्रीडानिरतयुवतिस्नानतिक्तैः मरुद्भिः
Pm31-40.mp3,201.5,209.34,अप्यन्यस्मिन् जलधर महाकालमासाद्य काले
Pm31-40.mp3,209.36,217.66,स्थातव्यं ते नयनविषयं यावदत्येति भानुः
Pm31-40.mp3,217.68,225.76,कुर्वन् सन्ध्याबलिपटहतां शूलिनः श्लाघनीयाम्
Pm31-40.mp3,225.78,234.84,आमन्द्राणां फलमविकलं लप्स्यसे गर्जितानाम्
Pm31-40.mp3,234.86,243.98,पादन्यासैः क्वणितरसनाः तत्र लीलावधूतैः
Pm31-40.mp3,244,252.82,रत्नच्छायाखचितवलिभिः चामरैः क्लान्तहस्ताः
Pm31-40.mp3,252.84,261.74,वेश्यास्त्वत्तो नखपदसुखान् प्राप्य वर्षाग्रबिन्दून्
Pm31-40.mp3,261.76,271.16,आमोक्ष्यन्ते त्वयि मधुकरश्रेणिदीर्घान् कटक्षान्
Pm31-40.mp3,271.18,279,पश्चादुच्चैर्भुजतरुवनं मण्डलेनाभिलीनः
Pm31-40.mp3,279.02,287.5,सांध्यं तेजः प्रतिनवजपापुष्परक्तं दधानः
Pm31-40.mp3,287.52,295.58,नृत्यारम्भे हर पशुपतेरार्द्रनागाजिनेच्छां
Pm31-40.mp3,295.6,304.2,शान्तोद्वेगस्तिमितनयनं दृष्टभक्तिर्भवान्या
Pm31-40.mp3,304.22,312.78,गच्छन्तीनां रमणवसतिं योषितां यत्र नक्तं
Pm31-40.mp3,312.8,321.84,रुद्धालोके नरपतिपथे सूचिभेद्यैस्तमोभिः
Pm31-40.mp3,321.86,330,सौदामन्या कनकनिकषस्निग्धया दर्शयोर्वीं
Pm31-40.mp3,330.02,340,तोयोत्सर्गस्तनितमुखरः मा स्म भूर्विक्लवास्ताः
Pm31-40.mp3,340.02,348.56,तां कस्यांचिद् भवनवलभौ सुप्तपारावतायां
Pm31-40.mp3,348.58,356.7,नीत्वा रात्रिं चिरविलसनात् खिन्नविद्युत्कलत्रः
Pm31-40.mp3,356.72,364.5,दृष्टे सूर्ये पुनरपि भवान् वाहयेदध्वशेषं
Pm31-40.mp3,364.52,374.2,मन्दायन्ते न खलु सुहृदामभ्युपेतार्थकृत्याः
Pm31-40.mp3,374.22,381.78,तस्मिन् काले नयनसलिलं योषितां खण्डितानां
Pm31-40.mp3,381.8,389.74,शान्तिं नेयं प्रणयिभिः अतो वर्त्म भानोस्त्यजाशु
Pm31-40.mp3,389.76,397.68,प्रालेयास्रं कमलवदनात् सोऽपि हर्तुं नलिन्याः
Pm31-40.mp3,397.7,405.96,प्रत्यावृत्तस्त्वयि कररुधि स्यादनल्पभ्यसूयः
Pm31-40.mp3,405.98,413.36,गम्भीरायाः पयसि सरितः चेतसीव प्रसन्ने
Pm31-40.mp3,413.38,420.68,छायात्मापि प्रकृतिसुभगः लप्स्यते ते प्रवेशम्
Pm31-40.mp3,420.7,428.5,तस्मादस्याः कुमुदविशदान्यर्हसि त्वं न धैर्यात्
Pm31-40.mp3,428.52,435.7,मोघीकर्तुं चटुलशफोरोद्वर्तनप्रेक्षितानि
Pm41-50.mp3,0,7.94,तस्याः किञ्चित् करधृतमिव प्राप्त्वानीरशाखं
Pm41-50.mp3,7.96,15.36,नीत्वा नीलं सलिलवसनं मुक्तरोधोनितम्बम्
Pm41-50.mp3,15.38,22.38,प्रस्थानं ते कथमपि सखे लम्बमानस्य भावि
Pm41-50.mp3,22.4,30.04,ज्ञातास्वादो विवृतजघनां को विहातुं समर्थः
Pm41-50.mp3,30.06,37.94,त्वन्निष्यन्दोच्छ्वसितवसुधागन्धसम्पर्करम्यः
Pm41-50.mp3,37.96,46.04,स्रोतोरन्ध्रध्वनितसुभगं दन्तिभिः पीयमानः
Pm41-50.mp3,46.06,54.66,नीचैर्वास्यत्युपजिगमिषोः देवपूर्वं गिरिं ते
Pm41-50.mp3,54.68,63.12,शीतो वायुः परिणमयिता काननोदुम्बराणाम्
Pm41-50.mp3,63.14,71.48,तत्र स्कन्दं नियतवसतिं पुष्पमेघीकृतात्मा
Pm41-50.mp3,71.5,79.48,पुष्पासारैः स्नपयतु भवान् व्योमगङ्गाजलार्द्रैः
Pm41-50.mp3,79.5,87.56,रक्षाहेतोर्नवशशिभृता वासवीनां चमूनाम्
Pm41-50.mp3,87.58,96.06,अत्यादित्यं हुतवहमुखे संभृतं तद्धितेजः
Pm41-50.mp3,96.08,104.4,ज्योतिर्लेखावलयि गलितं यस्य बर्हं भवानी
Pm41-50.mp3,104.42,111.48,पुत्रप्रेम्णा कुवलयदलप्रापि कर्णे करोति
Pm41-50.mp3,111.5,119.94,धौतापाङ्गं हरशशिरुचा पावकेस्तं मयूरं
Pm41-50.mp3,119.96,129.06,पश्चादद्रिग्रहणगुरुभिः गर्जितैर्नर्तयेथाः
Pm41-50.mp3,129.08,137.72,आराध्यैनं शरवणभवं देवमुल्लङ्घिताध्वा
Pm41-50.mp3,137.74,145.96,सिद्धद्वन्द्वैर्जलकणभयाद् वीणिभिर्मुक्तमार्गः
Pm41-50.mp3,145.98,153.24,व्यालम्बेथाः सुरभितनयालम्भजां मानयिष्यन्
Pm41-50.mp3,153.26,162.26,स्रोतोमूर्त्या भुवि परिणतां रन्तिदेवस्य कीर्तिम्
Pm41-50.mp3,162.28,171.44,त्वय्यादातुं जलमवनते शार्ङ्गिणो वर्णचौरे
Pm41-50.mp3,171.46,180.64,तस्याः सिन्धोः पृथुमपि तनुं दूरभावात् प्रवाहम्
Pm41-50.mp3,180.66,188.5,प्रेक्षिष्यन्ते गगनगतयः नूनमावर्ज्य दृष्टीः
Pm41-50.mp3,188.52,197.56,एकं मुक्तागुणमिव भुवः स्थूलमध्येन्द्रनीलम्
Pm41-50.mp3,197.58,206.54,तामुत्तीर्य व्रज परिचितभ्रूलताविभ्रमाणां
Pm41-50.mp3,206.56,214.16,पक्ष्मोत्क्षेपाद् उपरिविलसत्कृष्णशारप्रभाणाम्
Pm41-50.mp3,214.18,221.32,कुन्दक्षेपानुगमधुकरश्रीमुषामात्मबिम्बं
Pm41-50.mp3,221.34,229.96,पात्रीकुर्वन् दशपुरवधूनेत्रकौतूहलानाम्
Pm41-50.mp3,229.98,238.22,ब्रह्मावर्तं जनपदम् अथ च्छायया गाहमानः
Pm41-50.mp3,238.24,246.58,क्षेत्रं क्षत्रप्रधनपिशुनं कौरवं तद्भजेथाः
Pm41-50.mp3,246.6,255,राजन्यानां शितशरशतैः यत्र गाण्डीवधन्वा
Pm41-50.mp3,255.02,263.86,धारापातैस्त्वमिव कमलान्यभ्यवर्षन् मुखानि
Pm41-50.mp3,263.88,272.38,हित्वा हालामभिमतरसां रेवतीलोचनाङ्कां
Pm41-50.mp3,272.4,280.24,बन्धुप्रीत्या समरविमुखः लाङ्गली याः सिषेवे
Pm41-50.mp3,280.26,287.94,कृत्वा तासामधिगममपां सौम्य सारस्वतीनाम्
Pm41-50.mp3,287.96,296.12,अन्तः शुद्धस्त्वमपि भविता वर्णमात्रेण कृष्णः
Pm41-50.mp3,296.14,305.08,तस्माद्गच्छेः अनुकनखलं शैलराजावतीर्णां
Pm41-50.mp3,305.1,313.34,जह्नोः कन्यां सगरतनयस्वर्गसोपानपङ्क्तिम्
Pm41-50.mp3,313.36,321.3,गौरीवक्त्रभ्रुकुटिरचनां या विहस्येव फेनैः
Pm41-50.mp3,321.32,330.24,शम्भोः केशग्रहणमकरोद् इन्दुलग्नोर्मिहस्ता
Pm51-63.mp3,0,9.2,तस्याः पातुं सुरगज इव व्योम्नि पश्चार्धलम्बी
Pm51-63.mp3,9.22,17.38,त्वं चेद् अच्छस्फटिकविशदं तर्कयेस्तिर्यगम्भः
Pm51-63.mp3,17.4,25.48,संसर्पन्त्या सपदि भवतः स्रोतसि च्छाययासौ
Pm51-63.mp3,25.5,34.04,स्यादस्थानोपगतयमुनासंगमेवाभिरामा
Pm51-63.mp3,34.06,43.44,आसीनानां सुरभितशिलं नाभिगन्धैर्मृगाणां
Pm51-63.mp3,43.46,52.12,तस्या एव प्रभवमचलं प्राप्य गौरं तुषारैः
Pm51-63.mp3,52.14,59.8,वक्ष्यस्यध्वश्रमविनयने तस्य शृङ्गे निषण्णः
Pm51-63.mp3,59.82,69.6,शोभां शुभ्रत्रिनयनवृषोत्खातपङ्कोपमेयाम्
Pm51-63.mp3,69.62,76.96,तं चेद्वायौ सरति सरलस्कन्धसंघट्टजन्मा
Pm51-63.mp3,76.98,85.78,बाधेतोल्काक्षपितचमरीबालभारो दवाग्निः
Pm51-63.mp3,85.8,93.8,अर्हस्येनं शमयितुमलं वारिधारासहस्रैः
Pm51-63.mp3,93.82,102.94,आपन्नार्तिप्रशमनफलाः संपदो ह्युत्तमानाम्
Pm51-63.mp3,102.96,111.6,ये संरम्भोत्पतनरभसाः स्वाङ्गभङ्गाय तस्मिन्
Pm51-63.mp3,111.62,119.92,मुक्ताध्वानं सपदि शरभा लङ्घयेयुर्भवन्तम्
Pm51-63.mp3,119.94,128.32,तान् कुर्वीथाः तुमुलकरकावृष्टिपातावकीर्णान्
Pm51-63.mp3,128.34,136.78,के वा न स्युः परिभवपदं निष्फलारम्भयत्नाः
Pm51-63.mp3,136.8,144.72,तत्र व्यक्तं दृषदि चरणन्यासमर्धेन्दुमौलेः
Pm51-63.mp3,144.74,152.1,शश्वत् सिद्धैरुपचितबलिं भक्तिनम्रः परीयाः
Pm51-63.mp3,152.12,160.1,यस्मिन् दृष्टे करणविगमादूर्ध्वमुद्धूतपापाः
Pm51-63.mp3,160.12,168.16,कल्पिष्यन्ते स्थिरगणपदप्राप्तये श्रद्दधानाः
Pm51-63.mp3,168.18,176.66,शब्दायन्ते मधुरमनिलैः कीचकाः पूर्यमाणाः
Pm51-63.mp3,176.68,184.16,संरक्ताभिस्त्रिपुरविजयः गीयते किन्नरीभिः
Pm51-63.mp3,184.18,192.38,निर्ह्रादस्ते मुरज इव चेत् कन्दरेषु ध्वनिः स्यात्
Pm51-63.mp3,192.4,200.6,संगीतार्थो ननु पशुपतेः तत्र भावी समग्रः
Pm51-63.mp3,200.62,209.3,प्रालेयाद्रेरुपतटमतिक्रम्य तांस्तान् विशेषान्
Pm51-63.mp3,209.32,216.52,हंसद्वारं भृगुपतियशोवर्त्म यत्क्रौञ्चरन्ध्रम्
Pm51-63.mp3,216.54,224.36,तेनोदीचीं दिशमनुसरेः तिर्यगायामशोभी
Pm51-63.mp3,224.38,233,श्यामः पादः बलिनियमनाभ्युद्यतस्येव विष्णोः
Pm51-63.mp3,233.02,240.92,गत्वा चोर्ध्वं दशमुखभुजोच्छ्वासितप्रस्थसंधेः
Pm51-63.mp3,240.94,248.96,कैलासस्य त्रिदशवनितादर्पणस्यातिथिः स्याः
Pm51-63.mp3,248.98,256.42,शृङ्गोच्छ्रायैः कुमुदविशदैर्यो वितत्य स्थितः खं
Pm51-63.mp3,256.44,265.5,राशीभूतः प्रतिदिनमिव त्र्यम्बकस्याट्टहासः
Pm51-63.mp3,265.52,273.3,उत्पश्यामि त्वयि तटगते स्निग्धभिन्नाञ्जनाभे
Pm51-63.mp3,273.32,280.32,सद्यः कृत्तद्विरददशनच्छेदगौरस्य तस्य
Pm51-63.mp3,280.34,288.2,शोभामद्रेः स्तिमितनयनप्रेक्षणीयां भवित्रीम्
Pm51-63.mp3,288.22,296.76,अंसन्यस्ते सति हलभृतः मेचके वाससीव
Pm51-63.mp3,296.78,305.4,हित्वा तस्मिन् भुजगवलयं शम्भुना दत्तहस्ता
Pm51-63.mp3,305.42,313.78,क्रीडाशैले यदि च विचरेत् पादचारेण गौरी
